art_type,damage_type,damage_percent,restoration_cost
watercolor,scratch,11,214
acrylic,fade,25,355
oil,blur,5,115
watercolor,blur,8,110
watercolor,fade,39,428
oil,blur,35,505
watercolor,scratch,23,352
oil,blur,31,362
oil,scratch,37,384
acrylic,blur,8,155
acrylic,blur,27,404
watercolor,fade,33,434
acrylic,blur,17,295
oil,fade,5,129
acrylic,scratch,34,543
watercolor,fade,22,363
acrylic,scratch,18,194
watercolor,scratch,21,413
oil,blur,14,209
watercolor,scratch,40,444
oil,crack,10,167
watercolor,scratch,19,285
acrylic,blur,22,392
watercolor,fade,35,568
watercolor,fade,16,317
oil,scratch,9,157
watercolor,blur,26,313
oil,scratch,10,210
oil,fade,18,291
acrylic,scratch,23,397
acrylic,crack,9,177
watercolor,crack,41,573
oil,blur,9,158
watercolor,crack,21,319
acrylic,fade,36,542
watercolor,blur,27,433
oil,fade,36,393
watercolor,blur,41,595
acrylic,scratch,32,428
oil,crack,19,292
watercolor,scratch,45,731
acrylic,crack,20,335
acrylic,blur,49,510
oil,scratch,20,327
oil,crack,34,355
watercolor,scratch,43,544
watercolor,scratch,24,452
acrylic,crack,50,620
acrylic,crack,47,607
acrylic,scratch,25,301
oil,scratch,9,215
oil,blur,13,193
acrylic,blur,7,131
watercolor,crack,42,519
watercolor,scratch,17,221
acrylic,fade,48,592
watercolor,crack,42,569
watercolor,fade,21,303
oil,scratch,10,184
oil,scratch,23,365
acrylic,fade,45,582
oil,fade,26,384
oil,blur,20,302
acrylic,scratch,33,564
oil,scratch,8,134
oil,fade,46,665
acrylic,fade,38,615
acrylic,scratch,16,210
acrylic,blur,22,381
watercolor,blur,46,707
watercolor,crack,15,203
acrylic,crack,32,518
acrylic,scratch,8,153
oil,scratch,8,121
watercolor,scratch,44,449
acrylic,crack,44,695
watercolor,fade,38,388
watercolor,blur,28,375
watercolor,crack,19,245
watercolor,fade,49,474
watercolor,scratch,45,500
oil,crack,26,412
oil,scratch,11,226
watercolor,blur,39,475
acrylic,scratch,42,416
oil,scratch,27,238
watercolor,blur,7,109
oil,blur,21,321
watercolor,fade,48,625
watercolor,crack,11,180
acrylic,fade,20,253
acrylic,crack,5,162
oil,blur,17,323
oil,crack,19,252
oil,blur,22,366
watercolor,blur,41,385
oil,scratch,39,352
acrylic,blur,14,271
watercolor,blur,28,376
watercolor,scratch,28,316
acrylic,scratch,38,519
oil,fade,20,265
oil,crack,9,123
acrylic,blur,36,495
acrylic,blur,32,428
watercolor,crack,34,355
watercolor,blur,6,148
acrylic,blur,18,283
acrylic,scratch,14,255
acrylic,fade,10,165
acrylic,scratch,38,592
acrylic,scratch,13,161
acrylic,scratch,11,189
acrylic,blur,38,402
acrylic,fade,8,209
watercolor,crack,42,432
acrylic,fade,32,422
oil,crack,22,302
oil,blur,37,539
oil,crack,32,327
oil,crack,16,317
acrylic,crack,48,660
watercolor,fade,41,612
acrylic,crack,31,497
acrylic,blur,7,130
oil,fade,10,181
oil,crack,14,172
oil,crack,48,575
acrylic,scratch,42,532
watercolor,scratch,43,583
watercolor,blur,17,238
acrylic,scratch,18,257
watercolor,crack,5,74
watercolor,blur,49,572
acrylic,crack,39,634
acrylic,blur,23,366
acrylic,blur,16,271
oil,blur,44,528
acrylic,crack,31,365
watercolor,scratch,39,508
oil,scratch,49,673
oil,crack,40,493
oil,crack,35,494
oil,blur,36,413
watercolor,blur,31,383
watercolor,blur,5,117
acrylic,scratch,41,452
oil,crack,29,257
watercolor,blur,29,441
oil,crack,43,436
acrylic,crack,18,241
oil,fade,39,498
watercolor,scratch,8,167
watercolor,crack,16,317
watercolor,blur,31,427
watercolor,blur,9,129
oil,blur,5,79
acrylic,blur,7,174
oil,scratch,28,311
acrylic,blur,28,306
acrylic,fade,46,730
watercolor,crack,12,201
watercolor,scratch,41,663
acrylic,scratch,21,300
oil,blur,19,274
acrylic,crack,10,146
oil,crack,38,562
oil,crack,18,297
acrylic,fade,13,217
oil,blur,25,412
oil,crack,38,391
oil,crack,50,743
acrylic,scratch,50,835
watercolor,fade,9,153
watercolor,crack,6,118
oil,scratch,32,364
acrylic,scratch,33,447
oil,scratch,11,182
oil,scratch,35,410
acrylic,crack,28,258
oil,scratch,35,475
oil,crack,19,277
watercolor,scratch,19,307
watercolor,blur,21,189
acrylic,scratch,46,635
oil,blur,12,177
watercolor,scratch,27,343
watercolor,fade,19,245
oil,crack,49,724
watercolor,fade,15,220
oil,blur,17,309
acrylic,scratch,11,164
acrylic,crack,45,574
watercolor,blur,49,628
acrylic,scratch,14,244
acrylic,blur,9,223
acrylic,blur,31,476
watercolor,fade,27,384
acrylic,crack,46,625
watercolor,crack,5,119
acrylic,scratch,11,235
acrylic,scratch,40,469
acrylic,scratch,20,254
acrylic,fade,28,415
acrylic,crack,28,487
acrylic,scratch,15,214
watercolor,blur,6,94
watercolor,blur,42,662
oil,scratch,20,368
watercolor,crack,20,328
watercolor,blur,31,302
oil,blur,6,94
acrylic,blur,7,187
acrylic,fade,33,289
oil,fade,40,640
watercolor,fade,48,768
oil,crack,8,147
watercolor,fade,32,516
acrylic,crack,20,290
oil,blur,45,641
watercolor,crack,42,586
oil,crack,23,366
oil,scratch,37,402
oil,scratch,28,287
oil,blur,6,162
oil,scratch,45,678
watercolor,blur,17,226
oil,crack,41,471
watercolor,blur,6,115
acrylic,crack,44,624
oil,scratch,24,394
oil,crack,49,598
watercolor,crack,28,334
acrylic,fade,15,262
acrylic,crack,32,444
watercolor,scratch,17,229
watercolor,fade,13,196
oil,fade,30,345
oil,fade,27,343
oil,scratch,7,194
oil,crack,45,502
acrylic,blur,32,509
oil,fade,15,248
oil,scratch,11,145
acrylic,scratch,30,393
acrylic,scratch,45,716
acrylic,crack,12,213
acrylic,fade,19,297
oil,blur,37,520
acrylic,fade,16,282
acrylic,scratch,49,567
watercolor,fade,20,295
acrylic,scratch,13,214
watercolor,crack,48,747
acrylic,fade,40,393
oil,scratch,42,633
acrylic,fade,8,141
oil,crack,7,151
watercolor,blur,31,493
acrylic,crack,33,466
watercolor,scratch,24,281
acrylic,fade,8,154
acrylic,crack,10,223
watercolor,blur,37,366
watercolor,scratch,40,377
watercolor,fade,19,358
oil,crack,7,180
oil,blur,15,274
oil,crack,31,403
oil,fade,48,486
watercolor,blur,23,327
oil,crack,11,238
watercolor,blur,12,165
acrylic,scratch,18,272
acrylic,crack,46,631
watercolor,fade,11,168
watercolor,crack,10,206
watercolor,fade,47,555
oil,scratch,37,581
watercolor,crack,41,621
oil,crack,30,447
acrylic,blur,10,195
oil,fade,18,209
acrylic,crack,30,381
acrylic,blur,11,240
oil,blur,18,224
watercolor,crack,27,399
watercolor,scratch,11,148
acrylic,blur,38,449
watercolor,crack,11,228
watercolor,blur,38,521
watercolor,crack,32,405
watercolor,scratch,18,290
acrylic,crack,48,420
acrylic,scratch,47,796
oil,scratch,30,350
acrylic,crack,48,770
watercolor,scratch,24,331
oil,fade,5,133
acrylic,blur,26,335
watercolor,blur,31,380
acrylic,fade,17,311
acrylic,blur,15,174
acrylic,crack,29,362
watercolor,scratch,48,420
acrylic,blur,23,354
acrylic,scratch,11,153
acrylic,blur,20,281
oil,blur,16,273
oil,scratch,50,802
watercolor,fade,34,405
oil,blur,34,362
watercolor,crack,50,623
watercolor,fade,8,118
oil,fade,30,407
watercolor,blur,43,429
watercolor,scratch,26,437
watercolor,fade,45,663
watercolor,blur,14,242
oil,crack,16,309
oil,scratch,13,241
oil,blur,22,300
acrylic,fade,32,532
watercolor,fade,36,544
oil,fade,34,439
oil,crack,35,447
oil,crack,32,375
oil,fade,45,479
oil,crack,46,756
oil,scratch,29,412
oil,scratch,10,191
watercolor,scratch,32,369
oil,fade,20,261
oil,crack,42,699
oil,scratch,40,598
watercolor,scratch,9,195
oil,blur,17,195
watercolor,fade,9,187
acrylic,scratch,41,481
oil,blur,18,276
watercolor,fade,11,164
oil,scratch,46,692
oil,blur,42,620
oil,fade,8,193
acrylic,scratch,49,682
acrylic,crack,41,406
oil,blur,29,310
acrylic,fade,13,210
oil,crack,43,674
oil,scratch,38,376
oil,scratch,35,473
acrylic,crack,22,353
acrylic,blur,5,136
acrylic,blur,14,207
acrylic,blur,36,489
acrylic,blur,14,224
acrylic,scratch,13,177
acrylic,crack,13,192
watercolor,fade,34,467
acrylic,crack,41,667
acrylic,blur,9,159
watercolor,fade,15,200
oil,scratch,46,596
oil,blur,41,669
acrylic,fade,41,501
watercolor,crack,9,168
oil,blur,29,340
oil,fade,16,248
acrylic,blur,10,166
oil,crack,29,327
oil,fade,31,526
watercolor,scratch,26,272
oil,crack,29,408
oil,blur,31,413
watercolor,fade,45,596
acrylic,blur,17,299
watercolor,scratch,44,506
oil,fade,8,169
acrylic,scratch,41,714
watercolor,fade,30,357
watercolor,blur,44,645
oil,blur,16,210
oil,blur,40,699
watercolor,blur,22,330
acrylic,scratch,17,225
oil,blur,18,203
oil,scratch,31,362
acrylic,fade,49,655
acrylic,blur,29,352
oil,scratch,38,553
acrylic,scratch,7,189
oil,scratch,8,161
acrylic,crack,23,305
acrylic,fade,49,643
acrylic,blur,29,517
acrylic,scratch,6,168
oil,fade,17,202
watercolor,fade,24,283
oil,fade,48,499
oil,crack,10,186
acrylic,fade,8,186
acrylic,fade,6,107
acrylic,scratch,8,121
oil,crack,44,539
oil,fade,19,281
acrylic,crack,37,560
watercolor,blur,21,238
oil,fade,11,224
acrylic,blur,8,194
watercolor,blur,23,359
acrylic,crack,10,231
watercolor,scratch,23,373
watercolor,blur,5,95
watercolor,scratch,29,354
watercolor,fade,19,350
oil,blur,25,420
oil,blur,18,223
acrylic,blur,10,129
oil,fade,47,629
oil,fade,15,222
acrylic,blur,43,507
watercolor,fade,48,635
acrylic,fade,13,254
acrylic,blur,44,550
oil,crack,42,600
oil,crack,14,246
watercolor,fade,47,540
oil,fade,32,446
oil,scratch,17,174
acrylic,fade,42,634
oil,scratch,38,482
oil,crack,40,550
oil,fade,50,672
watercolor,scratch,32,419
watercolor,crack,49,560
acrylic,fade,13,179
oil,fade,47,752
acrylic,fade,33,438
acrylic,crack,14,187
watercolor,blur,10,135
watercolor,scratch,12,237
oil,scratch,39,644
oil,blur,30,400
oil,blur,48,464
acrylic,scratch,20,365
acrylic,crack,42,375
acrylic,scratch,40,413
watercolor,scratch,27,411
acrylic,fade,25,322
oil,fade,33,395
acrylic,scratch,22,366
watercolor,blur,5,85
watercolor,scratch,48,553
acrylic,crack,40,638
acrylic,fade,34,455
oil,blur,44,680
acrylic,crack,6,120
oil,fade,18,229
acrylic,crack,35,536
oil,scratch,20,279
oil,crack,10,179
oil,crack,37,451
watercolor,crack,37,383
acrylic,blur,5,154
oil,scratch,21,232
watercolor,scratch,10,153
acrylic,fade,28,468
acrylic,blur,44,424
oil,fade,45,643
oil,blur,18,291
oil,blur,35,355
acrylic,crack,29,446
oil,fade,46,744
oil,fade,22,336
acrylic,blur,39,506
acrylic,scratch,40,449
acrylic,crack,27,431
acrylic,blur,18,232
watercolor,blur,18,300
acrylic,blur,30,450
watercolor,crack,31,460
watercolor,blur,38,368
acrylic,scratch,13,241
acrylic,crack,49,491
acrylic,scratch,34,554
acrylic,blur,10,171
oil,fade,25,299
oil,scratch,44,680
acrylic,scratch,45,661
acrylic,crack,19,237
oil,scratch,12,216
acrylic,crack,19,225
watercolor,fade,33,515
acrylic,blur,45,446
oil,blur,44,700
oil,scratch,24,294
watercolor,crack,40,464
oil,fade,14,308
watercolor,fade,43,516
oil,fade,41,666
watercolor,fade,42,685
oil,scratch,42,477
watercolor,crack,8,176
oil,scratch,32,309
oil,crack,42,490
watercolor,crack,39,335
oil,blur,42,496
watercolor,blur,15,213
oil,blur,19,239
acrylic,blur,42,483
watercolor,blur,40,635
oil,crack,14,223
oil,fade,38,506
watercolor,crack,6,70
acrylic,fade,42,650
acrylic,scratch,17,313
watercolor,blur,43,537
acrylic,fade,47,419
acrylic,scratch,21,240
oil,fade,27,405
watercolor,crack,25,445
watercolor,blur,49,434
acrylic,scratch,33,500
oil,crack,10,185
acrylic,fade,48,471
acrylic,crack,26,481
acrylic,blur,20,246
oil,scratch,25,315
acrylic,blur,27,366
watercolor,scratch,40,513
oil,scratch,26,482
watercolor,fade,18,299
acrylic,scratch,28,364
acrylic,fade,36,458
oil,fade,27,341
watercolor,crack,21,326
oil,scratch,36,560
watercolor,fade,11,206
oil,scratch,47,523
acrylic,crack,50,724
oil,blur,39,628
watercolor,scratch,40,486
acrylic,blur,10,172
oil,scratch,10,162
oil,crack,11,220
watercolor,scratch,47,708
oil,scratch,9,173
acrylic,crack,39,584
acrylic,scratch,33,357
watercolor,fade,17,244
acrylic,blur,30,342
watercolor,fade,8,163
acrylic,crack,35,577
watercolor,fade,18,307
watercolor,crack,49,696
watercolor,blur,16,169
oil,fade,42,703
watercolor,crack,11,175
oil,fade,20,361
acrylic,fade,43,657
acrylic,fade,31,351
watercolor,crack,11,156
acrylic,scratch,28,373
acrylic,crack,24,281
acrylic,fade,17,240
watercolor,crack,46,681
acrylic,fade,29,455
watercolor,fade,25,440
oil,fade,20,237
watercolor,scratch,14,219
acrylic,crack,41,613
oil,crack,29,502
watercolor,crack,6,101
acrylic,fade,26,364
oil,blur,30,504
watercolor,fade,28,413
watercolor,blur,39,367
oil,crack,19,302
acrylic,scratch,27,345
watercolor,fade,49,664
acrylic,fade,21,380
acrylic,scratch,5,144
acrylic,blur,10,187
oil,crack,48,782
acrylic,fade,16,244
oil,crack,20,365
oil,fade,18,246
oil,blur,8,105
watercolor,crack,34,519
watercolor,fade,15,229
watercolor,scratch,5,143
watercolor,blur,13,217
oil,blur,24,298
acrylic,crack,6,119
oil,scratch,38,471
acrylic,fade,30,360
oil,fade,34,444
watercolor,fade,47,738
acrylic,crack,45,447
watercolor,blur,22,387
acrylic,fade,32,511
oil,fade,14,211
oil,blur,8,160
acrylic,blur,28,308
oil,crack,17,263
watercolor,crack,18,324
watercolor,blur,29,380
watercolor,fade,47,444
watercolor,blur,41,538
oil,blur,24,379
acrylic,blur,6,120
watercolor,crack,25,403
watercolor,crack,29,493
watercolor,fade,45,578
watercolor,crack,32,326
acrylic,fade,25,277
acrylic,crack,23,320
acrylic,crack,34,422
acrylic,blur,35,488
watercolor,crack,17,252
oil,fade,5,132
oil,fade,36,460
oil,fade,20,351
acrylic,fade,44,467
acrylic,fade,22,316
watercolor,scratch,38,632
oil,crack,15,314
watercolor,crack,10,115
watercolor,scratch,50,628
oil,fade,43,534
acrylic,blur,35,504
oil,scratch,43,469
watercolor,fade,37,384
watercolor,blur,42,705
acrylic,crack,37,320
oil,blur,49,631
watercolor,fade,34,448
oil,fade,19,240
oil,scratch,42,524
watercolor,scratch,39,439
acrylic,blur,16,267
acrylic,blur,18,293
acrylic,blur,26,323
watercolor,crack,29,327
watercolor,scratch,46,573
watercolor,crack,39,493
oil,blur,22,353
oil,blur,24,286
oil,scratch,16,312
acrylic,crack,23,352
acrylic,scratch,33,487
acrylic,blur,35,473
watercolor,fade,14,215
acrylic,scratch,30,385
oil,fade,36,471
acrylic,fade,36,469
oil,fade,22,343
watercolor,fade,34,352
oil,scratch,30,340
oil,blur,9,161
watercolor,fade,9,151
acrylic,fade,28,451
oil,scratch,31,473
oil,scratch,48,662
acrylic,blur,30,501
oil,fade,11,132
oil,fade,29,458
acrylic,crack,38,338
watercolor,fade,40,416
acrylic,blur,32,369
acrylic,crack,35,405
acrylic,fade,45,517
watercolor,blur,46,453
acrylic,scratch,13,141
acrylic,blur,45,532
acrylic,scratch,30,442
watercolor,scratch,13,176
acrylic,crack,33,595
acrylic,fade,18,359
oil,fade,17,278
watercolor,blur,34,424
watercolor,fade,24,330
acrylic,fade,15,233
acrylic,crack,9,163
acrylic,crack,9,137
oil,fade,17,238
oil,crack,33,448
acrylic,scratch,35,401
acrylic,fade,46,601
watercolor,fade,5,108
watercolor,scratch,42,444
oil,crack,22,299
watercolor,fade,16,187
oil,crack,38,415
acrylic,blur,14,290
acrylic,scratch,18,214
watercolor,fade,30,321
oil,crack,5,142
acrylic,crack,34,377
watercolor,crack,29,315
oil,fade,21,337
acrylic,blur,14,254
watercolor,crack,15,218
oil,blur,13,206
acrylic,scratch,30,337
watercolor,fade,36,418
oil,crack,47,572
oil,scratch,26,284
oil,crack,13,164
watercolor,crack,43,557
acrylic,blur,43,625
watercolor,blur,49,600
oil,crack,21,389
oil,scratch,24,315
acrylic,scratch,39,512
oil,blur,50,692
oil,fade,34,319
acrylic,crack,12,209
oil,blur,25,226
oil,crack,31,485
watercolor,crack,36,445
oil,fade,8,141
oil,fade,16,220
acrylic,scratch,32,357
acrylic,crack,13,167
oil,scratch,45,683
acrylic,fade,15,237
watercolor,crack,14,225
acrylic,crack,37,478
acrylic,fade,38,586
watercolor,blur,33,403
acrylic,crack,11,192
watercolor,blur,38,449
watercolor,crack,30,399
watercolor,crack,8,148
watercolor,fade,32,413
acrylic,scratch,50,677
oil,crack,25,444
acrylic,fade,13,128
oil,fade,19,260
oil,fade,27,361
watercolor,scratch,14,149
oil,fade,11,200
oil,fade,33,492
oil,crack,43,604
watercolor,blur,10,179
oil,crack,44,759
oil,fade,25,362
acrylic,blur,43,377
acrylic,blur,25,394
oil,fade,39,555
acrylic,blur,17,307
watercolor,scratch,40,569
acrylic,fade,33,522
acrylic,blur,42,664
acrylic,crack,34,342
acrylic,scratch,48,791
acrylic,scratch,17,286
watercolor,blur,13,226
watercolor,crack,46,398
acrylic,blur,34,394
oil,blur,49,665
acrylic,blur,12,205
oil,blur,15,215
watercolor,blur,26,310
watercolor,scratch,17,284
oil,crack,9,167
acrylic,scratch,31,527
acrylic,fade,21,276
oil,scratch,19,249
watercolor,crack,8,142
acrylic,fade,39,466
acrylic,scratch,44,585
acrylic,crack,15,206
acrylic,scratch,25,277
watercolor,fade,27,401
oil,fade,36,324
acrylic,blur,32,287
acrylic,crack,8,147
watercolor,fade,11,170
acrylic,crack,17,339
watercolor,fade,42,701
watercolor,scratch,18,346
watercolor,scratch,49,737
oil,fade,39,602
watercolor,fade,12,232
watercolor,fade,7,107
oil,blur,12,191
watercolor,fade,42,617
watercolor,blur,35,511
watercolor,crack,34,432
acrylic,blur,24,257
oil,crack,37,375
oil,fade,16,273
watercolor,fade,15,160
acrylic,fade,48,748
acrylic,scratch,35,428
acrylic,blur,21,337
watercolor,crack,42,501
oil,blur,9,110
watercolor,fade,6,143
watercolor,scratch,12,176
acrylic,fade,44,755
oil,fade,40,424
acrylic,scratch,48,577
watercolor,crack,40,605
acrylic,crack,40,389
oil,crack,13,208
watercolor,crack,22,342
acrylic,scratch,48,576
oil,blur,39,345
oil,crack,26,398
acrylic,fade,31,400
acrylic,scratch,41,709
acrylic,fade,26,350
watercolor,scratch,49,670
acrylic,fade,12,206
watercolor,scratch,31,410
oil,fade,14,201
watercolor,crack,6,91
watercolor,scratch,44,653
oil,scratch,15,319
watercolor,crack,24,425
oil,crack,23,332
watercolor,scratch,45,650
oil,crack,29,485
watercolor,scratch,16,241
oil,scratch,37,540
oil,blur,22,336
watercolor,crack,30,502
acrylic,scratch,42,679
watercolor,fade,29,526
acrylic,fade,39,483
acrylic,scratch,37,377
watercolor,crack,34,559
oil,fade,18,323
acrylic,scratch,50,546
watercolor,crack,48,473
oil,scratch,36,590
watercolor,fade,31,494
acrylic,blur,9,121
oil,scratch,22,343
oil,crack,46,636
oil,scratch,37,569
oil,blur,24,262
acrylic,crack,8,161
acrylic,blur,6,130
oil,fade,23,240
oil,blur,7,130
watercolor,crack,12,197
